productName,brand,price,currency,GTIN
Kikärtor,ELDORADO,33.95,SEK,7340083450556
Prinsesslängd Grön,CITY GROSS,129,SEK,2000940900000
Sorbet Hallon, Fryst,SIA GLASS,20.95,SEK,7312690205027
Mango Chutney Hot,GARANT,26.95,SEK,7340083433580
Standardmjölk 3,0%,GRÅDÖ MEJERI,20.95,SEK,7340131390315
Pintobönor,ELDORADO,33.95,SEK,7340083450570
LED Lampa E27 G125,STAR TRADING,159,SEK,7391482050076
Milkslice 5-Pack,KINDER,24.95,SEK,40084794
Black Eye Bönor,ELDORADO,33.95,SEK,7340083450587
Prinsessbakelse Grön,CITY GROSS,59.95,SEK,2000943300005
LED Lampa E27 G95,STAR TRADING,139,SEK,7391482050069
Cat-Stick Mini Torsk/Sej,VITAKRAFT,12.5,SEK,4008239240033
Solroskärnor,ELDORADO,29.95,SEK,7340083450617
Kaffefilter 1x4 Oblekt,FIXA,19.95,SEK,7340083454240
Budapestbakelse,CITY GROSS,59.95,SEK,2000943700003
Espresso Nero Hela Bönor,ARVID NORDQUIST,81.95,SEK,7310760040691
Bok Födelsedagen,1ST,79,SEK,9789137506357
Brioche Kräm,FRAICHE D'OR,42.95,SEK,7611612170031
Kapris Medelstora,ZETA,39.95,SEK,7350002401231
My first!,BAMBINO,64.95,SEK,7392855224094
Köttbullar, Fryst,GARANT,49.95,SEK,7340083405655
Penne Rigate,MONTE CASTELLO,10.95,SEK,7611612150736
LED E27 G95 Spiral Smoke,STAR TRADING,139,SEK,7391482049162
Ishavsräkor Med Skal 70/90, Fryst,GARANT,109,SEK,7340083485930
Spaghetti,MONTE CASTELLO,14.95,SEK,7611612150743
Ishavsräkor Med Skal 90/120,  Fryst,GARANT,69.95,SEK,7340083485947
Jätten Smultron,GÖTEBORGS,20.95,SEK,7310525504512
Pofiber,SEMPER,15.5,SEK,7310100857200
Snabbmakaroner,MONTE CASTELLO,16.95,SEK,7611612150750
Bananbakelse 2-Pack,CITY GROSS,59.95,SEK,2000945300003
LED Lampa E27 G125,STAR TRADING,159,SEK,7391482049179
Mälargrillare 4-Pack,MÄLARCHARK,38.95,SEK,7332012012522
Mango Chutney Bengal Club,GARANT,26.95,SEK,7340083433597
On! Plus Mint Regular Portion,ON! PLUS,42.95,SEK,73195405
Fusilli,MONTE CASTELLO,57.95,SEK,7611612150798
Ost & Baconkorv,SP CHARK,35.95,SEK,7350018063898
Dammsugarpåsar M50 MP+ Green,SWIRL,99.95,SEK,4006508220779
Jalapeño Green,SANTA MARIA,69.95,SEK,7311310044282
Hårinpackning Extraordinary Oil,ELVITAL,57.95,SEK,3600522451976
Bok Glasmannen,1ST,79,SEK,9789137155647
Riven Ost Lagrad 32%,NORRMEJERIER,47.95,SEK,7310861081821
Anti Breakage Shampoo New,ELVITAL,37.95,SEK,3600522870548
